Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Isiah Kiner-Falefa","- - -",133,496,8,53,43,11,0.032258064,0.157258064,0.107526882,0.307086614,0.268817204,0.306288032,0.376344086,0.29883789133590327,0.28311611727153213,92.87710042753737,2.2114819809794426,-2.2634981675424637,5.62931951880455,2.052542561086762,"Isiah Kiner-Falefa",16512,643396
"Xander Bogaerts","SDP",111,463,11,50,44,13,0.060475161,0.170626349,0.11682243,0.296511627,0.264018691,0.306695464,0.380841121,0.2997738561928916,0.3061038201387947,94.87338991185194,2.6182216182351112,-0.22017161762819448,4.305327892303467,2.0207958478355836,"Xander Bogaerts",12161,593428
"Geraldo Perdomo","ARI",98,388,3,61,37,9,0.092783505,0.149484536,0.100890208,0.316725978,0.272997032,0.34383202,0.37388724,0.3171501502277344,0.2818552652994792,101.73590531099596,2.7913370952010155,3.596750849390465,2.91359543800354,2.0122644765157847,"Geraldo Perdomo",22799,672695
"Michael Harris II","ATL",110,470,16,58,48,10,0.04893617,0.2,0.154545455,0.3003003,0.263636363,0.304255319,0.418181818,0.3120455870242007,0.3438308162729877,98.80223246365063,-1.3597439303994179,-2.032924667633731,5.5177000761032104,1.9829631607870128,"Michael Harris II",25931,671739
"Randy Arozarena","- - -",154,648,20,77,60,20,0.11265432,0.260802469,0.169398908,0.274725274,0.218579234,0.331790123,0.387978142,0.3203924835464101,0.321052232886761,114.26342115810951,-1.1641208454966545,9.411462180484985,-11.738340139389038,1.9791728882427935,"Randy Arozarena",19290,668227
"Jake Meyers","HOU",148,513,13,51,61,11,0.06822612,0.228070175,0.14099783,0.262686567,0.219088937,0.286274509,0.360086767,0.28458094643611537,0.3041112404169999,84.79829328950993,2.2011618316173553,-6.72192916385916,8.778160333633423,1.9694572057387107,"Jake Meyers",20308,676694
"Shea Langeliers","OAK",137,534,29,58,80,4,0.076779026,0.27153558,0.226141078,0.251592356,0.22406639,0.288389513,0.450207468,0.31521909476671006,0.32773885511814205,109.4924367781867,-2.7979819253087044,3.001972456374344,-1.7549636363983154,1.957810396340962,"Shea Langeliers",25816,669127
"J.T. Realmuto","PHI",99,413,14,50,47,2,0.065375302,0.246973365,0.163157895,0.328301886,0.265789473,0.322033898,0.428947368,0.32606597331542414,0.33913958101667047,107.1964369033052,-0.47483957558870316,3.0792539987509757,2.057638645172119,1.95675046574183,"J.T. Realmuto",11739,592663
"Freddy Fermin","KCR",111,368,6,40,36,2,0.0625,0.179347826,0.09439528,0.318518518,0.27138643,0.318801089,0.36578171,0.30039438133031293,0.2788966139701948,92.34362993084085,-0.454319603741169,-3.6781808588796885,10.23769760131836,1.9379017222714592,"Freddy Fermin",21840,666023
"Yandy Díaz","TBR",145,621,14,55,65,0,0.080515297,0.152979066,0.13321492,0.31441048,0.280639431,0.341384863,0.413854351,0.3305333292234731,0.33599080699933,120.34472436052373,-3.654780700802803,10.801248531535716,-12.776997804641724,1.9229580133355781,"Yandy Diaz",16578,650490
